story,segment_id,segment_rel_pos,models_mean,human_pcaught,mean_minus_human,segment_text,gpt4o_pcaught,llama4_pcaught,deep_seek_pcaught,oss_120_pcaught,models_min,models_max
costa,146,0.75,37.5,51.613,-14.113,"I said, “Don’t you dare touch my daughter.",49.0,38.0,47.0,16.0,16.0,49.0
costa,136,0.7,36.5,50.538,-14.038,"Thirty – no, twenty-eight years since her sister died?",48.0,51.0,31.0,16.0,16.0,51.0
doSomething,37,0.46,10.25,24.211,-13.961,make sure he doesn't slam into me or anything.,1.0,22.0,10.0,8.0,1.0,22.0
stein,87,0.67,13.018,26.804,-13.786,So – I guess they figured “Let's get this lady out of here because she's talking loud and long.”,8.257,22.0,17.143,4.673,4.673,22.0
bear,64,0.52,25.25,39.0,-13.75,'cause that's just a plain old spooky looking place.,6.0,15.0,39.0,41.0,6.0,41.0
stein,117,0.9,29.587,43.299,-13.712,And I cannot afford to be buying windows.”,28.44,34.0,40.952,14.953,14.953,40.952
costa,132,0.68,28.25,41.935,-13.685,She went down like lightning.,39.0,35.0,29.0,10.0,10.0,39.0
costa,48,0.25,28.25,41.935,-13.685,"Oh, and I had everything in a bag,",24.0,17.0,53.0,19.0,17.0,53.0
stein,98,0.75,6.947,20.619,-13.671,"I can see it right now – from where he was sitting up front there where the horses came around,",2.752,8.0,11.429,5.607,2.752,11.429
costa,141,0.73,20.75,34.409,-13.659,"The girl who was walking with Marie,",33.0,23.0,16.0,11.0,11.0,33.0
costa,80,0.41,27.25,40.86,-13.61,"Dr. Schwartz actually did the operation, but she was his assistant, Dr. Montique.",41.0,19.0,16.0,33.0,16.0,41.0
costa,194,1.0,23.0,36.559,-13.559,That’s all. So that’s what happened.,37.0,25.0,18.0,12.0,12.0,37.0
bear,100,0.82,64.5,78.0,-13.5,"and I turned around,",83.0,17.0,76.0,82.0,17.0,83.0
hester_v2-church,24,0.44,72.5,86.0,-13.5,"Finally, I went inside the church and found a candle.",83.0,63.0,44.0,100.0,44.0,100.0
costa,114,0.59,39.25,52.688,-13.438,"I’ll kick you,” I said.",48.0,53.0,31.0,25.0,25.0,53.0
costa,192,0.99,31.75,45.161,-13.411,"She was a real quiet girl, pleasant, didn’t talk much,",63.0,29.0,22.0,13.0,13.0,63.0
costa,94,0.48,27.5,40.86,-13.36,I had the clothes and everything ready.,46.0,30.0,21.0,13.0,13.0,46.0
costa,149,0.77,37.25,50.538,-13.288,"I said, “Don’t you dare touch my daughter.",46.0,40.0,47.0,16.0,16.0,47.0
costa,164,0.85,51.25,64.516,-13.266,"Yes, he had a heart attack.",58.0,39.0,51.0,57.0,39.0,58.0
costa,29,0.15,19.0,32.258,-13.258,She’s discharged.”,20.0,14.0,17.0,25.0,14.0,25.0
bear,49,0.4,17.75,31.0,-13.25,"And after I got there,",11.0,15.0,22.0,23.0,11.0,23.0
bear,99,0.81,75.75,89.0,-13.25,"Well there was nothing for me to do but run,",99.0,19.0,92.0,93.0,19.0,99.0
costa,46,0.24,36.25,49.462,-13.212,"She was operated – ten days before, so that would be the twentieth.",34.0,49.0,31.0,31.0,31.0,49.0
costa,55,0.28,10.5,23.656,-13.156,"I said, “All right, I’ll be right over.”",21.0,9.0,5.0,7.0,5.0,21.0
hester_v1-park,25,0.46,3.25,16.327,-13.077,I looked up at the branches above me.,0.0,5.0,8.0,0.0,0.0,8.0
stein,121,0.93,37.457,50.515,-13.058,So you might just as well make up your mind to that.,35.78,44.0,47.619,22.43,22.43,47.619
bear,32,0.26,41.0,54.0,-13.0,"and I couldn't find any real reason not to go,",51.0,58.0,37.0,18.0,18.0,58.0
costa,49,0.25,33.25,46.237,-12.987,and I had the coat on my arm and her dress hanging on my arm.,23.0,18.0,59.0,33.0,18.0,59.0
hester_v1-park,32,0.59,15.75,28.571,-12.821,But I was willing to give it a try.,8.0,14.0,21.0,20.0,8.0,21.0
stein,116,0.89,33.593,46.392,-12.799,"She said, “It is winter time and it is cold.",28.44,35.0,44.762,26.168,26.168,44.762
hester_v1-park,20,0.37,13.75,26.531,-12.781,"I wasn't too far from my office, maybe a ten-minute walk.",0.0,7.0,4.0,44.0,0.0,44.0
bear,63,0.52,48.25,61.0,-12.75,no one was in the mood to go out and hunt bear,34.0,19.0,58.0,82.0,19.0,82.0
stein,97,0.75,6.947,19.588,-12.641,And of course they saw the man came around the back –,2.752,8.0,11.429,5.607,2.752,11.429
bear,4,0.03,37.5,50.0,-12.5,"Actually I met them before that,",41.0,37.0,16.0,56.0,16.0,56.0
bear,105,0.86,49.5,62.0,-12.5,he was just right on my heels ...,64.0,13.0,50.0,71.0,13.0,71.0
bear,90,0.74,78.5,91.0,-12.5,"and there was the biggest old bear I'd ever seen in my life,",100.0,20.0,94.0,100.0,20.0,100.0
bear,17,0.14,35.5,48.0,-12.5,and help me do chores and things like that.,57.0,35.0,18.0,32.0,18.0,57.0
costa,25,0.13,23.0,35.484,-12.484,I didn’t have a phone then.,26.0,20.0,10.0,36.0,10.0,36.0
costa,172,0.89,24.25,36.559,-12.309,"I said, “All right.”",39.0,26.0,20.0,12.0,12.0,39.0
stein,91,0.7,18.621,30.928,-12.307,We weren't far from – from where it was – maybe Fifth street – from where we had moved.,5.505,22.0,13.333,33.645,5.505,33.645
hester_v2-church,34,0.63,28.75,41.0,-12.25,It was just an overwhelming feeling that I needed to go.,15.0,37.0,37.0,26.0,15.0,37.0
costa,87,0.45,26.5,38.71,-12.21,"I said, “Talk to her? My daughter’s dying, what am I supposed to tell her?”",43.0,26.0,25.0,12.0,12.0,43.0
stein,30,0.23,12.672,24.742,-12.07,and they – they stayed open until – until all hours.,2.752,2.0,7.619,38.318,2.0,38.318
doSomething,67,0.83,34.25,46.316,-12.066,And I said “He's got a definite problem...”,21.0,34.0,56.0,26.0,21.0,56.0
costa,61,0.31,27.75,39.785,-12.035,"I prayed, “Oh dear God, don’t take that mother away from her children.”",25.0,12.0,11.0,63.0,11.0,63.0
bear,121,0.99,48.0,60.0,-12.0,"But can you BELIEVE,",79.0,4.0,60.0,49.0,4.0,79.0
stein,51,0.39,10.808,22.68,-11.873,You're supposed to protect us.”,4.587,13.0,21.905,3.738,3.738,21.905
stein,124,0.95,6.699,18.557,-11.858,They probably didn't have any money either.,3.67,6.0,16.19,0.935,0.935,16.19
panic,1,0.02,62.25,74.0,-11.75,"Well, I was at work one day",99.0,72.0,56.0,22.0,22.0,99.0
doSomething,15,0.19,1.0,12.632,-11.632,You know how you sit there and wait for the traffic to get by?,0.0,0.0,1.0,3.0,0.0,3.0
stein,68,0.52,32.763,44.33,-11.567,"So my mother said, to the captain, “What are you going to do about it?”",11.927,51.0,44.762,23.364,11.927,51.0
stein,37,0.28,24.67,36.082,-11.413,And my voice was such that you could hardly make out what I was saying.,6.422,23.0,55.238,14.019,6.422,55.238
costa,89,0.46,45.75,56.989,-11.239,My hair was all pulled out.,48.0,42.0,47.0,46.0,42.0,48.0
stein,85,0.65,9.391,20.619,-11.228,"He said, “Take you home?”",4.587,14.0,15.238,3.738,3.738,15.238
stein,88,0.68,7.425,18.557,-11.131,And they had never come up with anybody like that.,5.505,10.0,9.524,4.673,4.673,10.0
costa,47,0.24,11.5,22.581,-11.081,"The twentieth of April, right? It was kind of chilly.",16.0,10.0,9.0,11.0,9.0,16.0
bear,114,0.93,51.0,62.0,-11.0,"I just reached back,",68.0,14.0,65.0,57.0,14.0,68.0
costa,152,0.78,26.75,37.634,-10.884,I wouldn’t let them touch her.,38.0,22.0,38.0,9.0,9.0,38.0
stein,31,0.24,5.732,16.495,-10.763,"Because they would, you know, however much money they could get they wanted.",0.0,3.0,16.19,3.738,0.0,16.19
doSomething,16,0.2,3.0,13.684,-10.684,Right there in the median?,0.0,0.0,2.0,10.0,0.0,10.0
doSomething,14,0.17,12.5,23.158,-10.658,and he's heading for the same spot that I'm going.,6.0,28.0,4.0,12.0,4.0,28.0
costa,62,0.32,13.0,23.656,-10.656,"I was praying for her, you know.",25.0,9.0,8.0,10.0,8.0,25.0
stein,101,0.78,14.097,24.742,-10.645,Well we got out of that police patrol –,2.752,9.0,38.095,6.542,2.752,38.095
costa,42,0.22,16.25,26.882,-10.632,"“All right, mother, go ahead,” she said, “I’ll finish up.”",23.0,13.0,19.0,10.0,10.0,23.0
costa,145,0.75,64.75,75.269,-10.519,"Later, they said it was a blood clot.",80.0,61.0,68.0,50.0,50.0,80.0
bear,51,0.42,13.5,24.0,-10.5,'cause I didn't really need any part of that.,11.0,13.0,19.0,11.0,11.0,19.0
costa,60,0.31,25.0,35.484,-10.484,They had said she was in very bad shape.,26.0,14.0,11.0,49.0,11.0,49.0
costa,85,0.44,20.75,31.183,-10.433,She took me away from the bed.,39.0,15.0,19.0,10.0,10.0,39.0
costa,59,0.3,27.25,37.634,-10.384,"She lived near my sister, and she had ten children.",26.0,11.0,11.0,61.0,11.0,61.0
schissel_v1-pool,4,0.22,19.25,29.63,-10.38,"And the reason it happened,",8.0,21.0,40.0,8.0,8.0,40.0
stein,105,0.81,51.585,61.856,-10.271,"She says, “I know that I am different from you, color wise,",77.982,43.0,66.667,18.692,18.692,77.982
bear,101,0.83,70.75,81.0,-10.25,"I ran as hard as I could go,",97.0,17.0,82.0,87.0,17.0,97.0
hester_v2-church,40,0.74,49.75,60.0,-10.25,He gradually regained his strength and independence.,36.0,54.0,73.0,36.0,36.0,73.0
stein,49,0.38,16.599,26.804,-10.205,But “they don't want anybody in there.”,3.67,24.0,21.905,16.822,3.67,24.0
costa,91,0.47,24.25,34.409,-10.159,"Beautiful girl, you can see from her picture.",48.0,20.0,17.0,12.0,12.0,48.0
hester_v2-church,29,0.54,55.25,65.0,-9.75,"After saying my prayer, I returned to the bookstore.",47.0,63.0,52.0,59.0,47.0,63.0
bear,57,0.47,63.25,73.0,-9.75,those guys weren't any more hot about going out in those woods and looking for a bear than I was.,100.0,32.0,68.0,53.0,32.0,100.0
triplett_v1-rookie,18,0.56,27.666,37.374,-9.707,I was strategizing.,35.928,29.703,39.0,6.034,6.034,39.0
stein,123,0.95,17.184,26.804,-9.621,Well of course you know they didn't do that.,2.752,6.0,59.048,0.935,0.935,59.048
hester_v1-park,18,0.33,20.0,29.592,-9.592,I still didn't see anyone nearby,0.0,10.0,70.0,0.0,0.0,70.0
stein,119,0.92,25.565,35.052,-9.486,But you can all see what has happened.,26.606,34.0,28.571,13.084,13.084,34.0
stein,20,0.15,4.06,13.402,-9.342,and carryin' on.,2.752,4.0,7.619,1.869,1.869,7.619
bear,117,0.96,64.75,74.0,-9.25,"YOU SKIN HIM,",82.0,14.0,83.0,80.0,14.0,83.0
costa,93,0.48,40.25,49.462,-9.212,She was getting ready to go home.,52.0,32.0,42.0,35.0,32.0,52.0
stein,94,0.72,17.611,26.804,-9.193,you know they told you about the trolley that went “Clang.”,2.752,9.0,40.0,18.692,2.752,40.0
costa,162,0.84,61.0,69.892,-8.892,"I said, “Mike, we lost Marie. Marie died.” It was just a shock.",88.0,65.0,55.0,36.0,36.0,88.0
stein,95,0.73,13.797,22.68,-8.883,"Well this police patrol that bell they had, it went “Clang clang clang.”",2.752,9.0,23.81,19.626,2.752,23.81
stein,118,0.91,26.291,35.052,-8.76,"“Now” she said, “Whoever threw the stones I don't know.",26.606,35.0,30.476,13.084,13.084,35.0
bear,53,0.43,24.25,33.0,-8.75,"So we got up there,",8.0,12.0,27.0,50.0,8.0,50.0
panic,28,0.5,84.25,93.0,-8.75,It was the manager,98.0,88.0,77.0,74.0,74.0,98.0
stein,77,0.59,71.685,80.412,-8.727,"She says, “But one thing I know I'm not going to do is move. Because I have no money to move with.”",81.651,59.0,65.714,80.374,59.0,81.651
stein,56,0.43,5.712,14.433,-8.721,And he told her.,4.587,5.0,9.524,3.738,3.738,9.524
costa,21,0.11,22.5,31.183,-8.683,"See, here, she never – I don’t know if they knew or what,",30.0,36.0,17.0,7.0,7.0,36.0
costa,78,0.4,25.75,34.409,-8.659,"see, they were trying to get the doctor, you know.",41.0,17.0,14.0,31.0,14.0,41.0
bear,42,0.34,49.5,58.0,-8.5,"and we landed on a lake,",2.0,56.0,42.0,98.0,2.0,98.0
bear,84,0.69,31.5,40.0,-8.5,and I go out bear hunting.,26.0,14.0,41.0,45.0,14.0,45.0
stein,71,0.55,58.542,67.01,-8.468,"She says – he says, “Well uh the only thing I can tell you to do is to move.”",26.606,51.0,76.19,80.374,26.606,80.374
costa,23,0.12,41.0,49.462,-8.462,"So, when she was walking around to come home after ten days,",58.0,45.0,47.0,14.0,14.0,58.0
stein,106,0.82,54.488,62.887,-8.398,"but in every other respect I'm just the same as you are,",77.982,48.0,70.476,21.495,21.495,77.982
costa,64,0.33,21.75,30.108,-8.358,"I started getting the chills,",28.0,27.0,15.0,17.0,15.0,28.0
costa,70,0.36,46.5,54.839,-8.339,"So, I went into the room.",45.0,44.0,58.0,39.0,39.0,58.0
doSomething,8,0.1,16.0,24.211,-8.211,"and as I was slowing down,",15.0,12.0,5.0,32.0,5.0,32.0
stein,110,0.85,45.43,53.608,-8.178,she had told them that was all the money she had.,52.294,37.0,44.762,47.664,37.0,52.294
costa,40,0.21,29.5,37.634,-8.134,and send for some cake from the bakery.”,46.0,18.0,41.0,13.0,13.0,46.0
stein,112,0.86,45.537,53.608,-8.072,She knew she was going to be there for the month.,37.615,46.0,71.429,27.103,27.103,71.429
stein,46,0.35,7.396,15.464,-8.068,"He says, “I dunno.”",7.339,9.0,8.571,4.673,4.673,9.0
doSomething,47,0.58,36.25,44.211,-7.961,"so I figured that when we get up to this stop sign I'm going to go back and find out what his problem is,",43.0,27.0,44.0,31.0,27.0,44.0
stein,120,0.92,32.259,40.206,-7.947,And now I'm telling you that we're going to be here for a month.,27.523,40.0,40.952,20.561,20.561,40.952
costa,58,0.3,37.25,45.161,-7.911,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder.",27.0,16.0,14.0,92.0,14.0,92.0
schissel_v2-lake,4,0.22,4.335,12.245,-7.909,"The reason it all began,",3.96,2.778,4.0,6.604,2.778,6.604
costa,65,0.34,14.75,22.581,-7.831,"and I was thinking about it,",27.0,14.0,8.0,10.0,8.0,27.0
panic,42,0.75,31.25,39.0,-7.75,He asked me questions about what was wrong,7.0,56.0,23.0,39.0,7.0,56.0
doSomething,19,0.23,32.5,40.0,-7.5,"I thought ""you jerk""...",15.0,62.0,31.0,22.0,15.0,62.0
bear,50,0.41,37.5,45.0,-7.5,"I was even more apprehensive than I had been even before we started,",26.0,55.0,56.0,13.0,13.0,56.0
panic,5,0.09,46.5,54.0,-7.5,organizing merchandise,57.0,31.0,47.0,51.0,31.0,57.0
triplett_v2-catlady,3,0.09,72.12,79.592,-7.472,or had given them homes.,78.704,46.602,77.064,86.111,46.602,86.111
costa,77,0.4,34.5,41.935,-7.435,"And the doctor rushed in,",42.0,18.0,15.0,63.0,15.0,63.0
stein,125,0.96,56.526,63.918,-7.392,"So in the meantime – not in the meantime but during, during the period of time that we were there, my father became sick.",98.165,5.0,77.143,45.794,5.0,98.165
stein,10,0.08,48.3,55.67,-7.37,And of course I was left there with the kids.,66.055,59.0,45.714,22.43,22.43,66.055
bear,113,0.93,71.75,79.0,-7.25,and that old bear went right on in.,100.0,18.0,91.0,78.0,18.0,100.0
costa,134,0.69,34.75,41.935,-7.185,"Hard like a pole, the back of her leg.",42.0,32.0,54.0,11.0,11.0,54.0
stein,76,0.58,10.567,17.526,-6.958,"So my mother said, “Well I don't know what I'm going to do.”",0.917,14.0,13.333,14.019,0.917,14.019
costa,82,0.42,21.0,27.957,-6.957,"So, she came in and she said –",40.0,15.0,15.0,14.0,14.0,40.0
stein,86,0.66,45.672,52.577,-6.905,"She said, “Yes in the police patrol.”",40.367,51.0,85.714,5.607,5.607,85.714
schissel_v1-pool,17,0.94,32.0,38.889,-6.889,"and naturally, the first thing to do was to get out and dry off,",1.0,60.0,7.0,60.0,1.0,60.0
costa,45,0.23,47.0,53.763,-6.763,"No, April! So that was the thirtieth.",39.0,66.0,39.0,44.0,39.0,66.0
hester_v2-church,46,0.85,71.25,78.0,-6.75,My grandpa lived for many more years after that incident.,81.0,37.0,74.0,93.0,37.0,93.0
bear,25,0.2,17.25,24.0,-6.75,"we did this for several years,",28.0,22.0,6.0,13.0,6.0,28.0
panic,43,0.77,27.25,34.0,-6.75,what happened,7.0,44.0,22.0,36.0,7.0,44.0
hester_v1-park,8,0.15,42.25,48.98,-6.73,My younger sister was away at college –,100.0,24.0,7.0,38.0,7.0,100.0
stein,111,0.85,50.109,56.701,-6.592,And they had paid that rent for a month.,41.284,42.0,67.619,49.533,41.284,67.619
stein,61,0.47,16.089,22.68,-6.591,"Well in those days black people were so cowed by circumstances an' uniforms and white people, you know, they uh many times didn't assert themselves.",27.523,15.0,18.095,3.738,3.738,27.523
stein,59,0.45,4.766,11.34,-6.575,but I've forgotten where he told her.,2.752,4.0,8.571,3.738,2.752,8.571
panic,54,0.96,65.5,72.0,-6.5,it taught me to check in with myself,80.0,31.0,80.0,71.0,31.0,80.0
hester_v2-church,37,0.69,77.5,84.0,-6.5,He hadn't been able to leave his bed for months without assistance.,58.0,87.0,78.0,87.0,58.0,87.0
hester_v1-park,19,0.35,15.0,21.429,-6.429,but I decided to take a chance.,1.0,13.0,46.0,0.0,0.0,46.0
doSomething,52,0.64,10.5,16.842,-6.342,you know.,6.0,12.0,22.0,2.0,2.0,22.0
hester_v1-park,36,0.67,27.5,33.673,-6.173,"I whispered, ""God, I don't know if you're listening.",0.0,11.0,44.0,55.0,0.0,55.0
stein,80,0.62,41.324,47.423,-6.099,"And she said, “If they didn't want me there they should not have rented the house to me.",74.312,26.0,26.667,38.318,26.0,74.312
bear,31,0.25,52.0,58.0,-6.0,"but I'd always been one of the group,",75.0,55.0,47.0,31.0,31.0,75.0
panic,13,0.23,10.0,16.0,-6.0,returning items to their proper places,2.0,5.0,14.0,19.0,2.0,19.0
costa,124,0.64,42.5,48.387,-5.887,They had to grab me.,47.0,48.0,37.0,38.0,37.0,48.0
stein,38,0.29,32.327,38.144,-5.817,"I was so nervous and – and – my voice was shaking so,",12.844,31.0,72.381,13.084,12.844,72.381
doSomething,79,0.98,55.25,61.053,-5.803,and he's just driving real slow and careful.,41.0,39.0,81.0,60.0,39.0,81.0
bear,27,0.22,42.25,48.0,-5.75,and hunting.,69.0,62.0,30.0,8.0,8.0,69.0
costa,73,0.38,33.0,38.71,-5.71,It came – just poured from her –,40.0,39.0,41.0,12.0,12.0,41.0
stein,83,0.64,7.697,13.402,-5.705,"And he says, “What's that?”",3.67,11.0,12.381,3.738,3.67,12.381
costa,67,0.35,50.25,55.914,-5.664,"The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?”",43.0,38.0,63.0,57.0,38.0,63.0
stein,58,0.45,5.712,11.34,-5.628,I was right there with her,4.587,5.0,9.524,3.738,3.738,9.524
stein,57,0.44,4.766,10.309,-5.544,I forgot now.,2.752,4.0,8.571,3.738,2.752,8.571
costa,130,0.67,45.0,50.538,-5.538,She went down like lightning.,41.0,45.0,83.0,11.0,11.0,83.0
stein,23,0.18,11.204,16.495,-5.291,"And I didn't know what to do,",7.339,10.0,20.0,7.477,7.339,20.0
bear,80,0.66,80.75,86.0,-5.25,"So you know who YOU KNOW WHO got the high card,",100.0,29.0,94.0,100.0,29.0,100.0
hester_v2-church,23,0.43,5.75,11.0,-5.25,I thought about my grandpa and how much he meant to our family.,0.0,10.0,12.0,1.0,0.0,12.0
hester_v2-church,44,0.81,42.75,48.0,-5.25,I wondered if my prayer had anything to do with my grandpa's recovery.,45.0,15.0,70.0,41.0,15.0,70.0
costa,32,0.16,41.0,46.237,-5.237,"I said, “Rita, finish the cooking.”",38.0,19.0,43.0,64.0,19.0,64.0
stein,45,0.35,32.02,37.113,-5.093,"My mother said, “I just moved in, how am I gonna move out?”",9.174,46.0,50.476,22.43,9.174,50.476
doSomething,3,0.04,0.25,5.263,-5.013,You know where that's at?,0.0,0.0,0.0,1.0,0.0,1.0
hester_v2-church,48,0.89,20.0,25.0,-5.0,We cherished every moment we had with him.,56.0,17.0,5.0,2.0,2.0,56.0
hester_v2-church,52,0.96,13.0,18.0,-5.0,"Sometimes, when I'm feeling lost or uncertain, I think back to that day.",3.0,4.0,16.0,29.0,3.0,29.0
bear,30,0.25,61.0,66.0,-5.0,"Now that didn't really appeal to me,",100.0,63.0,56.0,25.0,25.0,100.0
costa,167,0.86,50.0,54.839,-4.839,"He had a heart attack too, no kidding.",54.0,41.0,53.0,52.0,41.0,54.0
bear,6,0.05,53.25,58.0,-4.75,went to school at the same place.,94.0,28.0,19.0,72.0,19.0,94.0
hester_v2-church,12,0.22,28.25,33.0,-4.75,"I continued with my work, trying to ignore the voice.",29.0,29.0,6.0,49.0,6.0,49.0
triplett_v1-rookie,1,0.03,91.324,95.96,-4.635,"Back in the days when I was a rookie in the police force, the Chief was a veteran.",100.0,70.297,95.0,100.0,70.297,100.0
hester_v1-park,21,0.39,59.75,64.286,-4.536,I found a bench to sit on and closed my eyes – uh – uh –,23.0,42.0,76.0,98.0,23.0,98.0
costa,10,0.05,27.75,32.258,-4.508,There was a chair there.,35.0,12.0,35.0,29.0,12.0,35.0
costa,131,0.68,41.75,46.237,-4.487,"Dropped to the floor, and that’s a marble floor.",39.0,42.0,76.0,10.0,10.0,76.0
hester_v1-park,31,0.57,2.75,7.143,-4.393,I'd admit that to anyone.,1.0,1.0,8.0,1.0,1.0,8.0
stein,66,0.51,77.065,81.443,-4.378,"And we went – she took me, and we went to the police station.",94.495,84.0,92.381,37.383,37.383,94.495
costa,88,0.45,64.5,68.817,-4.317,And I was screaming.,58.0,76.0,63.0,61.0,58.0,76.0
costa,165,0.85,49.5,53.763,-4.263,"Then my son, Michael, yeah. That night.",57.0,40.0,41.0,60.0,40.0,60.0
panic,56,1.0,60.75,65.0,-4.25,eat to avoid further episodes,70.0,24.0,77.0,72.0,24.0,77.0
doSomething,43,0.53,13.75,17.895,-4.145,How it's everybody's responsibility.,3.0,11.0,36.0,5.0,3.0,36.0
costa,138,0.71,47.5,51.613,-4.113,"She suffers – seven, eight, nine weeks at a time.",57.0,57.0,62.0,14.0,14.0,62.0
hester_v1-park,26,0.48,23.5,27.551,-4.051,Nobody was around.,0.0,12.0,82.0,0.0,0.0,82.0
hester_v2-church,26,0.48,43.0,47.0,-4.0,"I said, ""God, I don't know how to pray properly.",32.0,29.0,66.0,45.0,29.0,66.0
panic,50,0.89,4.0,8.0,-4.0,I escaped from the situation,0.0,3.0,12.0,1.0,0.0,12.0
doSomething,77,0.95,56.0,60.0,-4.0,"and he starts forward again,",28.0,50.0,61.0,85.0,28.0,85.0
costa,44,0.23,31.5,35.484,-3.984,She was operated on in March –,29.0,46.0,23.0,28.0,23.0,46.0
triplett_v2-catlady,5,0.16,63.584,67.347,-3.763,and back then I was quite the tomboy.,57.407,47.573,69.725,79.63,47.573,79.63
costa,139,0.72,39.25,43.011,-3.761,"She can’t walk, she goes through such pain since then.",55.0,44.0,46.0,12.0,12.0,55.0
doSomething,6,0.07,19.5,23.158,-3.658,"and I was slowing down,",11.0,9.0,16.0,42.0,9.0,42.0
bear,39,0.32,49.5,53.0,-3.5,I left them talk me into it.,69.0,49.0,54.0,26.0,26.0,69.0
costa,76,0.39,53.5,56.989,-3.489,That’s what I kept yelling.,68.0,62.0,55.0,29.0,29.0,68.0
boyscout,13,0.68,26.5,29.897,-3.397,And so I started going down.,2.0,54.0,50.0,0.0,0.0,54.0
stein,104,0.8,48.216,51.546,-3.331,"and she says, “Why you're doing this to me I don't know.”",84.404,44.0,48.571,15.888,15.888,84.404
panic,55,0.98,68.75,72.0,-3.25,make sure to properly rest,80.0,31.0,83.0,81.0,31.0,83.0
costa,122,0.63,53.75,56.989,-3.239,I was so hysterical.,62.0,69.0,53.0,31.0,31.0,69.0
costa,191,0.98,43.0,46.237,-3.237,"The neighborhood – Annie at the store always says, “Mrs. Costa,” every time I go in there, she reminds me, “I just picture Marie standing at that step, looking over here.” She used to stand at that step.",70.0,35.0,30.0,37.0,30.0,70.0
costa,137,0.71,46.25,49.462,-3.212,"When she gets that pain, it’s like she has phlebitis from it.",58.0,52.0,61.0,14.0,14.0,61.0
doSomething,26,0.32,27.5,30.526,-3.026,"and we're headed up there towards that diamond,",15.0,28.0,20.0,47.0,15.0,47.0
bear,1,0.01,54.0,57.0,-3.0,This is a story about three of my friends,63.0,25.0,84.0,44.0,25.0,84.0
bear,76,0.62,83.0,86.0,-3.0,so we all decided that we'd cut the cards.,100.0,37.0,95.0,100.0,37.0,100.0
stein,107,0.82,44.53,47.423,-2.893,and all I'm trying to do is provide a home for my family.”,71.56,46.0,40.0,20.561,20.561,71.56
stein,81,0.62,28.036,30.928,-2.891,Now the real estate agent should be accountable.”,52.294,24.0,18.095,17.757,17.757,52.294
doSomething,25,0.31,34.0,36.842,-2.842,"So we went on across as soon as traffic cleared,",24.0,51.0,7.0,54.0,7.0,54.0
stein,2,0.02,27.069,29.897,-2.828,We had gotten moved,14.679,50.0,32.381,11.215,11.215,50.0
doSomething,40,0.49,13.0,15.789,-2.789,Really ...bad news.,4.0,29.0,17.0,2.0,2.0,29.0
stein,82,0.63,21.023,23.711,-2.688,"So anyhow, she said to him, “Well I know one thing you can do.”",9.174,37.0,28.571,9.346,9.174,37.0
doSomething,75,0.93,51.0,53.684,-2.684,he starts backing up going backwards down that road.,20.0,61.0,62.0,61.0,20.0,62.0
doSomething,7,0.09,23.75,26.316,-2.566,"got my turn signal on,",22.0,14.0,16.0,43.0,14.0,43.0
stein,93,0.72,40.753,43.299,-2.546,they had a bell that clanged. Clang clang clang –,2.752,12.0,81.905,66.355,2.752,81.905
stein,4,0.03,3.656,6.186,-2.529,"but it was still day,",0.917,9.0,1.905,2.804,0.917,9.0
hester_v2-church,17,0.31,34.5,37.0,-2.5,"As I approached the church, I hesitated for a moment.",32.0,32.0,47.0,27.0,27.0,47.0
boyscout,1,0.05,81.222,83.505,-2.283,"Yeah, I was in the boy scouts at the time.",96.0,55.0,85.0,88.889,55.0,96.0
hester_v1-park,17,0.31,23.25,25.51,-2.26,I looked around once more.,0.0,8.0,85.0,0.0,0.0,85.0
bear,83,0.68,71.75,74.0,-2.25,"So ... I took the old gun,",92.0,24.0,79.0,92.0,24.0,92.0
panic,6,0.11,14.75,17.0,-2.25,I had been working for a few hours,18.0,11.0,13.0,17.0,11.0,18.0
stein,24,0.18,45.306,47.423,-2.117,but I remember saying a prayer as I went out the front door because I didn't know what was gonna hit me when I went out that door.,21.101,34.0,47.619,78.505,21.101,78.505
costa,123,0.63,60.25,62.366,-2.116,I was banging my head against the wall and everything.,58.0,69.0,59.0,55.0,55.0,69.0
doSomething,17,0.21,4.25,6.316,-2.066,"This guy starts,",1.0,4.0,12.0,0.0,0.0,12.0
panic,4,0.07,66.0,68.0,-2.0,stocking boxes,72.0,42.0,73.0,77.0,42.0,77.0
triplett_v2-catlady,27,0.84,12.393,14.286,-1.893,But – however – that resolved it for that day.,10.185,15.534,23.853,0.0,0.0,23.853
triplett_v2-catlady,2,0.06,78.812,80.612,-1.8,She had adopted at least twenty –,90.741,46.602,86.239,91.667,46.602,91.667
doSomething,31,0.38,28.75,30.526,-1.776,"We're going up this hill,",8.0,32.0,56.0,19.0,8.0,56.0
hester_v2-church,53,0.98,42.25,44.0,-1.75,I remember the power of faith and the miracles it can bring.,33.0,9.0,48.0,79.0,9.0,79.0
stein,18,0.14,4.559,6.186,-1.627,(We call our mother mom.),4.587,7.0,5.714,0.935,0.935,7.0
triplett_v2-catlady,1,0.03,96.359,97.959,-1.6,"In the neighborhood I grew up in, Mrs. Baker was the resident cat lady.",100.0,85.437,100.0,100.0,85.437,100.0
